Level 1,Level 2,Level 3,Measure Names,NegPos_Number,List of Values,Measure Values
2016FA,Foreign Languages--B5017,,Ftes/Ftef,0 Days,All,15.961259080
2016FA,Foreign Languages--B5017,,Current Fill Rate,0 Days,All,0.875
2016FA,Foreign Languages--B5017,,Census Fill Rate,0 Days,All,0.875
2016FA,Foreign Languages--B5017,,Census Enrollment,0 Days,All,217
2016FA,Foreign Languages--B5017,,Number Successful,0 Days,All,150
2016FA,Foreign Languages--B5017,,Ftef,0 Days,All,2.065
2016FA,Foreign Languages--B5017,,Ftes,0 Days,All,32.96
2016FA,Foreign Languages--B5017,,Enrollment Capacity,0 Days,All,248
2016FA,Foreign Languages--B5017,,Count of Migrated Data,0 Days,All,7
2016FA,Foreign Languages--B5017,,Current Enrollment,0 Days,All,217
2016FA,Human Services--L5004,,Wsch/Ftef,0 Days,All,395.833333333
2016FA,Human Services--L5004,,Success Rate,0 Days,All,0.79375
2016FA,Human Services--L5004,,Sec. Count,0 Days,All,6
2016FA,Human Services--L5004,,Retention Rate,0 Days,All,0.85625
2016FA,Human Services--L5004,,Number Retained,0 Days,All,137
2016FA,Human Services--L5004,,Ftes/Ftef,0 Days,All,13.175
2016FA,Human Services--L5004,,Current Fill Rate,0 Days,All,0.833333333
2016FA,Human Services--L5004,,Census Fill Rate,0 Days,All,0.833333333
2016FA,Human Services--L5004,,Census Enrollment,0 Days,All,150
2016FA,Human Services--L5004,,Number Successful,0 Days,All,127
2016FA,Human Services--L5004,,Ftef,0 Days,All,1.2
2016FA,Human Services--L5004,,Ftes,0 Days,All,15.81
